label,data
Բաց-կապույտ ծաղիկներ,"Փալանճի Գիրգորը լռեց, բայց երբեք չէր հաշտվում այն գաղափարին հետ, որ իր որդին պիտի լիներ այդպես կորած֊մոլորած մի տղա։ Առանց որևէ լուրջ հիմքի՝ նա կարծում էր, որ եթե ինքը մի զավակ ունենար, այդպես չէր լինի, կլիներ չափազանց աշխույժ, արթուն և ուշիմ։"
Բաց-կապույտ ծաղիկներ,Ինչո՞ւ։ Ոչ ոք չէր կարող ասել։
Բաց-կապույտ ծաղիկներ,"Այս ուղղությամբ և այս ոգով Փալանճի Գիրգորը շատ էր խոսում։ Մի օր էլ Թուրվանտա Քորոն, չհամբերելով և արդարորեն զայրանալով, ասաց․"
Բաց-կապույտ ծաղիկներ,"— Էսքան տարի անցավ՝ բան մը չկրցար ընել, հազըր [ 4 ] ﻿օղլան պապասի[2] դարձար, հիմա էլ չե՞ս հավնիր, լեզո՜ւդ… "
Բաց-կապույտ ծաղիկներ,Փալանճի Գիրգորն այս մասին ընդմիշտ լռեց։
Բաց-կապույտ ծաղիկներ,
Բաց-կապույտ ծաղիկներ,"Եվ Թորիկն աճեց։ Ոսկորները մեծղի էին և դիմացկուն, միայն գլուխը, համեմատաբար, փոքր մնաց։ "
Բաց-կապույտ ծաղիկներ,"— Ղաֆան շատ պստլիկ է,— մի օր դիտել տվեց Փալանճի Գիրգորը, թեև վաղուց որոշել էր ոչինչ չասել։"
Բաց-կապույտ ծաղիկներ,Թուրվանտա Քորոն անպատասխան չթողեց նրան.
Բաց-կապույտ ծաղիկներ,"— Թո՛ղ պզտլիկ ըլլի, ի՞նչ ընենք, գլխուն վրա ընկո՞ւզ տի կոյրենք։"
Բաց-կապույտ ծաղիկներ,"— Քիչ մը մենծ ըլլի, որ մեջը բան մտնա,— քրթմնջաց Փալանճի Գիրգորը։"
Բաց-կապույտ ծաղիկներ,"Թուրվանտա Քորոն չպատասխանեց թեև, բայց առանձնահատուկ մի նայվածք նետեց Փալանճի Գիրգորի գլխին։"
Բաց-կապույտ ծաղիկներ,"Եվ պատահեց, որ Փալանճի Գիրգորը մի քանի անգամ Թորիկին հետը տարավ ման գալու։ Երբ Փալանճի Գիրգորը մի որևէ մեկի հետ փողոցում խոսակցության էր բռնվում, Թորիկը նրա սրունքը կիսագրկում էր և հանգիստ կանգնում։ Ոչ մի անհամբերություն, կանգնում էր և սպասում՝ մինչև Փալանճի Գիրգորը խոսքը վերջացներ, իսկ Փալանճի Գիրգորի խոսքը հաճախ երկար էր տևում։ Այն աստիճան Թորիկը նեղություն չէր պատճառում, որ Փալանճի Գիրգորի համար անխուսափելի սովորություն դարձավ առանց Թորիկի տեղ չգնալ։"
Բաց-կապույտ ծաղիկներ,"— Թող տունը մնա,— ասում էր Թուրվանտա Քորոն,— քըզի նեղություն կուտա։"
Բաց-կապույտ ծաղիկներ,"— Չէ, կնիկ, հեչ նեղություն չի տար, ճիվերս կը բռնե, կը կայնի, շատ խելոք փիճ է։"
Բաց-կապույտ ծաղիկներ,Թուրվանտա Քորոն խելահեղ ուրախության էր մատնվում։
Բաց-կապույտ ծաղիկներ,"— Թե՛ որբը տուն գտավ, թե՛ մենք ըլ զավակի տեր եղանք, թե որ Փալանճի Գիրգորին հայեինք, բան դուրս չէր գար, չո՜ր աղբյուր…— ասում էր նա։ [ 5 ] ﻿"
Բաց-կապույտ ծաղիկներ,"Հետզհետե թե՛ Փալանճի Գիրգորը, թե՛ Թուրվանտա Քորոն զգացին, որ Թորիկն անհրաժեշտություն էր տանը։"
Բաց-կապույտ ծաղիկներ,"— Էս փիճը չըլլեր, ի՞նչ տընեինք,— հարց էր տալիս Փալանճի Գիրգորը։"
Բաց-կապույտ ծաղիկներ,"— Ի՞նչ տընեինք, քիթ քթի տի նստեինք ու իրարու անտեր երեսը տի նայեինք,— պատասխանում էր Թուրվանտա Քորոն։"
Բաց-կապույտ ծաղիկներ,"— Ծո՛, Թորի՛կ,— ձայնում էր Փալանճի Գիրգորը։"
Բաց-կապույտ ծաղիկներ,"— Ի՞նչ է, Գիրգոր աղա,— պատրաստակամ պատասխանում էր Թորիկը։"
Բաց-կապույտ ծաղիկներ,"— Ջուր մի տուր՝ խմիմ, ծո՜։ "
Բաց-կապույտ ծաղիկներ,Թորիկը ջուրը բերում էր։
Բաց-կապույտ ծաղիկներ,"Թուրվանտա Քորոյի հրճվանքին չափ չկար, մանավանդ, երբ Թորիկն ամուսնուն «Գիրգոր աղա» էր կոչում, մի բան, որ ինքն էր սովորեցրել նրան։ Քանի որ աշխարհում ոչ ոք նրան աղա չէր կոչելու, գոնե Թորիկը կոչեր։"
Բաց-կապույտ ծաղիկներ,"— Քա՛, Թորի՛կ, ո՞վ է դուռը կծեծե,— հարցնում էր Թուրվանտա Քորոն, հաստատ համոզված լինելով, որ պիտի լինի Փալանճի Գիրգորը։"
Բաց-կապույտ ծաղիկներ,"— Գիրգոր աղաս է,— պատասխանում էր Թորիկը։ "
Բաց-կապույտ ծաղիկներ,"Թուրվանտա Քորոն հպարտանում էր, ուրախանում, բռնում Թորիկի գլուխը, սեղմում կրծքին, համբուրում և ասում․"
Բաց-կապույտ ծաղիկներ,— Գիրգոր աղադ քըզի ղուրբան ըլլի․․․
Բաց-կապույտ ծաղիկներ,
Բաց-կապույտ ծաղիկներ,"Երբ Թորիկն ավելի մեծացավ, տնից դուրս էլ դարձավ պետքական։"
Բաց-կապույտ ծաղիկներ,"— Ծո՛, Թորի՛կ, էս միսը տուն տար։"
Բաց-կապույտ ծաղիկներ,"— Ծո՛, Թորի՛կ, էս հացը տունը ձգե։"
Բաց-կապույտ ծաղիկներ,"— Թորի՛կ, օղո՛ւլ, գնա Գիրգոր աղայիդ ըսե՝ քացախ առնե, բեր։"
Բաց-կապույտ ծաղիկներ,"— Թորի՛կ, ղուրբան, սեփեթը (կողովը) խանութը տար։ "
Բաց-կապույտ ծաղիկներ,"Եվ Թորիկը ամեն ինչ կատարում էր սուսիկ֊փուսիկ, առանց դժգոհելու։ Միայն թե տնից խանութ, խանութից տուն գնալ [ 6 ] ﻿գալը շատ երկար էր տևում։ Երբ Փալանճի Գիրգորը տուն գար և ճաշը պատրաստ չգտներ, զարմանում էր։"
Բաց-կապույտ ծաղիկներ,"— Աղջի՛, Թուրվանտա՛, էսքան ատեն կերակուրը չե՞ս պատրաստեր, անոթի քուռակ կնետիմ։"
Բաց-կապույտ ծաղիկներ,— Ուշ ղրկեցիր միսը։
Բաց-կապույտ ծաղիկներ,"— Ի՞նչ կըսես, առտուն եմ ղրկեր։"
Բաց-կապույտ ծաղիկներ,"— Քա՛, օրհարսակ էր եկավ Թորիկը։"
Բաց-կապույտ ծաղիկներ,"— Ծո՛, Թորի՛կ։"
Բաց-կապույտ ծաղիկներ,Թորիկը կանգնում էր և հլու նայում։
Բաց-կապույտ ծաղիկներ,— Միսը խանութեն դո՞ր տուն բերիր։ Հեչ տեղ չի գացի՞ր։
Բաց-կապույտ ծաղիկներ,― Չէ։
Բաց-կապույտ ծաղիկներ,"Թորիկը սուտ չէր խոսում, խանութից ուղիղ տուն էր եկել, բայց ճանապարհին շատ էր կանգ առել։ Թորիկին հետաքրքրում էր փողոցում ամեն բան— արջ էին խաղացնում՝ դիտում էր, ձեռնածություն էին անում՝ դիտում էր, տեսնում էր, որ մի դռան առաջ հավերը կուտ են ուտում՝ կանգ էր առնում և երկարորեն դիտում, վա՜յ թե կցված շներ տեսներ՝ ժամերով դիտում էր զմայլանքով և հրճվանքով, առանց իմանալու, թե ինչ էր կատարվում։ Եվ պատահում էր, որ դիտելիս՝ թևի տակից հաց էին փախցնում կամ բանջարեղենի մի փունջ։ Ամենաշատն ուշանում էր այն օրերը, երբ ձյուն էր գալիս խոշոր փաթիլներով։ Դանդաղ և օրորուն պարող ձյան հատիկներն անսահման հրճվանք էին պատճառում Թորիկին, գլուխը վեր էր բարձրացնում և սպասում մինչև ձյան մի փաթիլ ընկնի աչքերի թարթիչների վրա։"
Բաց-կապույտ ծաղիկներ,"Մի օր էլ, ինչ-որ դիտելիս, մի շուն տոպրակի միջից միսը փախցրեց։ Վազեց ետևից, բայց չկարողացավ բռնել։ Այդ երեկո Փալանճի Գիրգորը մի ապտակ իջեցրեց նրան և ասաց."
Բաց-կապույտ ծաղիկներ,"— Խելքդ գլուխդ ժողվե, յավրում, փարա ենք տվեր։ "
Բաց-կապույտ ծաղիկներ,Թորիկը լաց եղավ։
Բաց-կապույտ ծաղիկներ,"— Գիրգոր աղա, ալ չեմ ըներ,— հեկեկաց նա։"
Բաց-կապույտ ծաղիկներ,"Թորիկն այս խոսքը այնպես արտասանեց, այնպիսի խեղճությամբ, այնպես գլուխը կախ և անօգնական տոնով, որ Փալանճի Գիրգորը խղճահարվեց, աչքերը խոնավացան, երեսը շուռ տվեց, որ ցույց չտա արցունքը, բայց Թուրվանտա Քորոն չդիմացավ և Թորիկի հետ միասին կուշտ լաց եղավ։ [ 7 ] ﻿"
Բաց-կապույտ ծաղիկներ,"— Ինչո՞ւ որբին զարկիր, ձեռքդ փրթի,— ասաց Թուրվանտա Քորոն։"
Բաց-կապույտ ծաղիկներ,"Գիշերը, անկողին մտնելիս, Թուրվանտա Քորոն կռնակը դարձրեց Փալանճի Գիրգորին։"
Բաց-կապույտ ծաղիկներ,"— Աղջի՛, Թուրի՛կ, կռնակդ ինչո՞ւ դարձուցիր,— զարմացավ Փալանճի Գիրգորը։"
Բաց-կապույտ ծաղիկներ,"— Էդ ըլ շատ է,— սրտնեղեց Թուրվանտա Քորոն։"
Բաց-կապույտ ծաղիկներ,"— Նորեն ի՞նչ եղավ, լուսինը նո՞ր է։"
Բաց-կապույտ ծաղիկներ,Երկար լռությունից հետո Փալանճի Գիրգորը մի կերպ հաջողեց կնոջ երեսն իր կողմը դարձնել։
Բաց-կապույտ ծաղիկներ,"— Որբին վրա ձեռք մի բարձրացներ, էնդի դեմը քուրոջս ի՞նչ պատասխան տի տամ։"
Բաց-կապույտ ծաղիկներ,"— Բան մըն էր՝ էղավ, կնի՛կ, ալ չեմ ըներ,— խոստացավ Փալանճի Գիրգորը։"
Բաց-կապույտ ծաղիկներ,Քիչ անց՝ Փալանճի Գիրգորը մացառի պես բեղերը քսեց Թուրվանտա Քորոյի երեսին։
Բաց-կապույտ ծաղիկներ,"— Քունս կտանե, տեղդ պառկիր։ "
Բաց-կապույտ ծաղիկներ,Եվ տիրեց լռություն։
Բաց-կապույտ ծաղիկներ,"Մի բան շատ էր զարմացնում Փալանճի Գիրգորին և Թուրվանտա Քորոյին։ Թորիկի հագուստի այնպիսի տեղն էր մաշվում, որ առհասարակ չպետք է մաշվեր, ուրիշների հագուստի այդ տեղերը երբեք չէին մաշվում։ Թորիկի արմունկը չէր մաշվում, այլ ուսերից մինչև արմունկը։"
Բաց-կապույտ ծաղիկներ,"— Քա՛, խելքս կթռցնիմ, էս ի՞նչ բան է,— ապշում էր Թուրվանտա Քորոն։"
Բաց-կապույտ ծաղիկներ,"— Արմունկը մաշվի, խելքիս կպառկի, ամա արմունկեն վեր ինչո՞ւ մաշվի, ջանըմ,— հարց էր տալիս Փալանճի Գիրգորը։"
Բաց-կապույտ ծաղիկներ,Մի օր Փալանճի Գիրգորը գաղտնի Թորիկին հետևեց՝ ստուգելու։
Բաց-կապույտ ծաղիկներ,Եվ ամեն ինչ պարզվեց։
Բաց-կապույտ ծաղիկներ,"Թորիկը ամբողջ ճանապարհին պատերին քսվելով էր գնում, խանութից տուն գնալիս՝ մի կողմով, տնից խանութ գնալիս՝ մյուս կողմով։ [ 8 ] "
Բաց-կապույտ ծաղիկներ,Եվ մի օր էլ Թորիկի կրծքին կախեցին թակը[3] և տարին դպրոց՝ պարոն Աշուրի վարժատունը։
Բաց-կապույտ ծաղիկներ,"— Միսը քըզի, ոսկորը մըզի,— ասաց Փալանճի Գիրգորը։ "
Բաց-կապույտ ծաղիկներ,"Պարոն Աշուրն ակնոցների տակից նայեց Թորիկին։ Թորիկը, թևերը կախ, ուսերը մի քիչ վեր բարձրացրած, ուղիղ կանգնել էր։"
Բաց-կապույտ ծաղիկներ,"— Խելացի կերևա,— ասաց պարոն Աշուրը։ "
Բաց-կապույտ ծաղիկներ,Փալանճի Գիրգորն ուռեց։
Բաց-կապույտ ծաղիկներ,"— Ինչ որ տեսեր է աչքը, էն ըլ սորվեր է, վարժապետ,— ասաց նա։"
Բաց-կապույտ ծաղիկներ,"Երեք տարի հաճախեց Թորիկը պարոն Աշուրի վարժատունը և հազիվ կարողացավ սովորել հայոց լեզվի տառերը, իսկ կարդալը՝ երբեք։"
Բաց-կապույտ ծաղիկներ,"Թուրվանտա Քորոն համառորեն պնդեց, որ Թորիկր դպրոցը պետք է շարունակի։"
Բաց-կապույտ ծաղիկներ,"— Խելքին բան չի պառկիր,— թեթևակի առարկեց Փալանճի Գիրգորը։"
Բաց-կապույտ ծաղիկներ,"— Օր մըլ կպառկի,— հակաճառեց Թուրվանտա Քորոն։"
Բաց-կապույտ ծաղիկներ,"Գրել֊կարդալ որ չի սորվավ, ըսել է էշ է, մարդ չի դառնար,— պնդեց Փալանճի Գիրգորը։"
Բաց-կապույտ ծաղիկներ,Թուրվանտան Քորոն թեթև ծիծաղեց և ասաց.
Բաց-կապույտ ծաղիկներ,"— Դուն ըլ կարդալ գրել չես գիտեր, դո՞ւն ըլ էշ ես, քա՛։ "
Բաց-կապույտ ծաղիկներ,Փալանճի Գիրգորը լռեց։
Բաց-կապույտ ծաղիկներ,"Եվ Թորիկը շարունակեց դպրոցը, մինչև պարոն Աշուրն ինքը վերջնագիր տվեց, թե Թորիկն այնքան դասարան չի փոխել, որ այժմ փոքրերի հետ դասընկեր է դարձել և այլևս չի կարող պահել դպրոցում։"
Բաց-կապույտ ծաղիկներ,"— Կհիշե՞ս, կնիկ, հարն ըլ քիչ մը դանխաֆա[4] էր,— ասաց Փալանճի Գիրգորը։"
Բաց-կապույտ ծաղիկներ,"— Մեռած մարդու վրա չեն հաչեր,— կշտամբեց Թուրվանտա Քորոն։"
Բաց-կապույտ ծաղիկներ,Ի վերջո Փալանճի Գիրգորն առաջարկեց. [ 9 ] ﻿
Բաց-կապույտ ծաղիկներ,"— Տանիմ իմ խանութ, թող իմ արհեստս սորվի, մարդ դառնա ընծի պես։"
Բաց-կապույտ ծաղիկներ,"Թուրվանտա Քորոն այս անգամ համաձայներ, որովհետև Թորիկի քթի տակ արդեն սևին էր տալիս, ձայնը հաստացել էր, և վերջնականապես պարզ էր, որ ուսման ոչ միայն սեր չուներ, այլև հարմարություն։"
Բաց-կապույտ ծաղիկներ,
Բաց-կապույտ ծաղիկներ,Առաջին օրը Փալանճի Գիրգորը խանութում Թորիկի գլխին երկար֊բարակ խրատ կարդաց.
Բաց-կապույտ ծաղիկներ,"— Թորիկ, յավրում, արհեստին մենծ ու պզտիկը չի կա, ամեն արհեստ իրեն արժեքն ունի, ինչու որ ամեն արհեստ մարդս աղքատութենե կազատե, ուրիշին կարոտ չըներ, փալանճիությունն ըլ արհեստ է և շատ աղեկ արհեստ է, հըլե հարցուր թե ինչո՞ւ։"
Բաց-կապույտ ծաղիկներ,"— Ինչո՞ւ, Գիրգոր աղա։"
Բաց-կապույտ ծաղիկներ,"— Ինչու որ գործդ մարդու հետ չէ, իշու հետ է։ Ինչո՞ւ ակռաներդ բացիր ու կծծղաս, իշու անո՞ւն լսեցիր,— վիրավորվեց Փալանճի Գիրգորը։"
Բաց-կապույտ ծաղիկներ,"Թորիկը վայրկենապես լրջացավ, բայց ուզում էր ասել, թե իշու ձայն լսեց, բայց լռեց՝ վախենալով ապտակից։ Փալանճին շարունակեց."
Բաց-կապույտ ծաղիկներ,"— Դուն չկարծես քի էս արհեստը դյուրին արհեստ է, չէ՛, յավրում, չէ՛, ամեն արհեստ իրեն փյուֆերին[5] ունի…"
Բաց-կապույտ ծաղիկներ,"— Ունի, Գիրգոր աղա,— մեքենաբար ձայնակցեց Թորիկը։"
Բաց-կապույտ ծաղիկներ,"— Հը՛, իշտե էդ փյուֆերին տի սորվիս։"
Բաց-կապույտ ծաղիկներ,"— Կսորվիմ, Գիրգոր աղա, բան մը չէ։"
Բաց-կապույտ ծաղիկներ,"— Մենծ֊մենծ մի խոսա, բոյդ կտեսնանք։ "
Բաց-կապույտ ծաղիկներ,Եվ Թորիկն սկսեց աշխատել։
Բաց-կապույտ ծաղիկներ,"Սկզբներում կարել, խոտ լցնել, չվան պատրաստել և այլն՝ կարողացավ յուրացնել, բայց երբ հասավ դժվարին մասին՝ փալանի արտաքին ձևավորման, Թորիկը կանգ առավ։"
Բաց-կապույտ ծաղիկներ,"Սկսվեցին Թորիկի և Փալանճի Գիրգորի միջև լուրջ անախորժություններ, մինչև այն աստիճան, որ Փալանճին խանութում, [ 10 ] ﻿ուրիշների ներկայության, Թորիկի վրա բղավում էր."
Բաց-կապույտ ծաղիկներ,"— Ծ՛ո, իշո՛ւ գլուխ, փալան մըլ քըզի համար պետք է շինել, քառասուն անգամ ըսի, բեյնդ չմտա՜վ։"
Բաց-կապույտ ծաղիկներ,"— Գիրգոր աղա, էշ է, ի՞նչ գիտե,— առարկում էր Թորիկը։"
Բաց-կապույտ ծաղիկներ,"— Էշը հայվան է, չի գիտեր, տե՞րն ըլ հայվան է, ծո՛։ "
Բաց-կապույտ ծաղիկներ,"Երբեմն վեճն այնքան էր տաքանում, որ Թորիկը թողնում էր խանութը, գնում տուն և ասում Թուրվանտա Քորոյին."
Բաց-կապույտ ծաղիկներ,"— Թուրիկ մոքուր, Գիրգոր աղաս ընծի չի հավնիր, ալ խանութ չեմ երթար։"
Բաց-կապույտ ծաղիկներ,"— Ամեն մարդ ըլ արհեստը էդպես կսորվի, օղո՛ւլ, իրեն գլխուն ըլ էնքան են զարկեր…"
Բաց-կապույտ ծաղիկներ,"Թորիկը, գլուխը կախ, վերադառնում էր խանութ։"
Բաց-կապույտ ծաղիկներ,"— Հը՞, քնթիդ հովը իջա՞վ,— հարցնում էր Փալանճի Գիրգորը։"
Բաց-կապույտ ծաղիկներ,"Թորիկը, առանց պատասխանելու, վերցնում էր մախաթը և սկսում աշխատանքը։"
Բաց-կապույտ ծաղիկներ,"Անախորժություններ պատահեցին և վաճառքի շուրջը։ Փալանճի Գիրգորի բացակայության Թորիկը փալան էր ծախում ավելի պակաս գնով, քան ծախս էր նստել իրենց վրա։"
Բաց-կապույտ ծաղիկներ,"— Ինչո՞ւ աժան ծախեցիր,— հարցնում էր Փալանճին։ "
Բաց-կապույտ ծաղիկներ,"Թորիկը, սառած աչքերով, նայում էր Փալանճուն և չէր պատախանում։"
Բաց-կապույտ ծաղիկներ,"— Պատասխան տուր, հայվա՛ն։"
Բաց-կապույտ ծաղիկներ,"— Բան մըն էր՝ եղավ, ալ չեմ ըներ։"
Բաց-կապույտ ծաղիկներ,"— Ծո՛, էս քանի՞ երորդ անգամն է, գլխուս ցեց դարձար, շա՛ն զավակ։"
Բաց-կապույտ ծաղիկներ,"Այդ օրերից մեկում Թորիկը տուն եկավ հարբած։ Մի երևույթ, որ երբեք չէր պատահել։"
Բաց-կապույտ ծաղիկներ,"— Քա՛, էս ի՞նչ բան էր, է՜ս էր պակաս,— գոռգոռաց Թուրվանտա Քորոն և զարկեց ծնկներին։"
Բաց-կապույտ ծաղիկներ,"Բայց, առավոտյան, Թուրվանտա Քորոն շոյելով Թորիկի զլուխը, հարցրեց հարբած լինելու պատճառը։ "
Բաց-կապույտ ծաղիկներ,Թորիկը պատասխանեց.
Բաց-կապույտ ծաղիկներ,"— Հորս, մորս քով երթամ պառկիմ՝ ավելի աղեկ է։"
Բաց-կապույտ ծաղիկներ,— Ինչո՞ւ։ [ 11 ] ﻿
Բաց-կապույտ ծաղիկներ,"— Գիրգոր աղաս ընծի շատ նեղություն կուտա,— գանգատվեց Թորիկն արցունքոտ աչքերով։"
Բաց-կապույտ ծաղիկներ,"Այնուամենայնիվ, ժամանակը սրբեց ամեն բան, այսպես թե այնպես Թորիկը սովորեց փալանի արտաքին ձևավորումը, սովորեց գները, սովորեց վաճառքի գաղտնիքները։"
Բաց-կապույտ ծաղիկներ,Անախորժությունները վերջացան։
Բաց-կապույտ ծաղիկներ,"Եվ մի իրիկուն Փալանճի Գիրգորը մի քանի ծանոթներ հրավիրեց իր տունը, օղի հրամցրեց, կանչեց Թորիկին, մոտը կանգնեցրեց, մի ապտակ զարկեց և ասաց."
Բաց-կապույտ ծաղիկներ,"— Ալ վարպետ ես, խոսք չունիմ։"
Բաց-կապույտ ծաղիկներ,Թորիկը խելագարվելու աստիճան ուրախացավ։
